Time,Ref_Vx,Ref_X,Ref_Y,MPC_X,MPC_Y,MPC_Vx,MPC_Fx,MPC_Steer,PID_X,PID_Y,PID_Vx,PID_Fx,PID_Power
0,25,0,0,0.05,0,1.23437,1499.98,0,0.05,0,1.23438,1500,1851.56
0.05,25,0,0,0.111719,0,1.46875,1499.99,0,0.111719,0,1.46875,1500,2203.12
0.1,25,0,0,0.185156,0,1.70312,1500,0,0.185156,0,1.70312,1500,2554.69
0.15,25,0,0,0.270312,0,1.9375,1500,0,0.270313,0,1.9375,1500,2906.25
0.2,25,0.5,0,0.367187,0,2.17187,1500,0,0.367188,0,2.17188,1500,3257.81
0.25,25,0.5,0,0.47578,0,2.40625,1500,0,0.475781,0,2.40625,1500,3609.38
0.3,25,0.5,0,0.596092,0,2.64062,1500,0,0.596094,0,2.64062,1500,3960.94
0.35,25,0.5,0,0.728123,0,2.87499,1500,0,0.728125,0,2.875,1500,4312.5
0.4,25,0.5,0,0.871873,0,3.10937,1500,0,0.871875,0,3.10938,1500,4664.06
0.45,25,1,0,1.02734,0,3.34374,1500,0,1.02734,0,3.34375,1500,5015.62
0.5,25,1,0,1.19453,0,3.57812,1500,0,1.19453,0,3.57812,1500,5367.19
0.55,25,1,0,1.37343,0,3.81249,1500,0,1.37344,0,3.8125,1500,5718.75
0.6,25,1.5,0,1.56406,0,4.04687,1500,0,1.56406,0,4.04688,1500,6070.31
0.65,25,1.5,0,1.7664,0,4.28124,1500,0,1.76641,0,4.28125,1500,6421.88
0.7,25,2,0,1.98047,0,4.51562,1500,0,1.98047,0,4.51562,1500,6773.44
0.75,25,2,0,2.20625,0,4.74999,1500,0,2.20625,0,4.75,1500,7125
0.8,25,2,0,2.44375,0,4.98437,1500,0,2.44375,0,4.98438,1500,7476.56
0.85,25,2.5,0,2.69296,0,5.21874,1500,0,2.69297,0,5.21875,1500,7828.12
0.9,25,2.5,0,2.9539,0,5.45312,1500,0,2.95391,0,5.45312,1500,8179.69
